variable_name,units,value,data_reference
E_L2_E0,J_per_m3,180977.76812575106,TO_DO
l_L2_E0,metre,3.6394e-06,TO_DO
r_0_L2_E0,metre,8.536e-07,TO_DO
u_0_L2_E0,J_per_m3,1.3839703899780944e-12,TO_DO
u_ext_L2_E0,J_per_m3,0.0,TO_DO
theta_L2_E0,dimensionless,0.0,TO_DO
beta_g,dimensionless,0.0,user_defined
rho,Js2_per_m5,1040.0,known
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,Avolio_1980
b_vessel,per_m,-505.3,Avolio_1980
c_vessel,dimensionless,0.1324,Avolio_1980
d_vessel,per_m,-11.14,Avolio_1980
u_ext_L2_E1,J_per_m3,0.0,TO_DO
u_0_L2_E1,J_per_m3,-2.982844794885348e-13,TO_DO
theta_L2_E1,dimensionless,0.0,TO_DO
E_L2_E1,J_per_m3,179513.96360683476,TO_DO
l_L2_E1,metre,2.1252e-06,TO_DO
r_0_L2_E1,metre,4.1679999999999997e-07,TO_DO
E_L2_E2,J_per_m3,182228.2866058121,TO_DO
l_L2_E2,metre,1.0537800000000001e-05,TO_DO
r_0_L2_E2,metre,2.0923e-06,TO_DO
u_0_L2_E2,J_per_m3,4.5323380465367435e-13,TO_DO
u_ext_L2_E2,J_per_m3,0.0,TO_DO
theta_L2_E2,dimensionless,0.0,TO_DO
E_L2_E3,J_per_m3,162953.2880989014,TO_DO
l_L2_E3,metre,8.892200000000001e-06,TO_DO
r_0_L2_E3,metre,9.268999999999999e-07,TO_DO
u_0_L2_E3,J_per_m3,2.4590017522196916e-12,TO_DO
u_ext_L2_E3,J_per_m3,0.0,TO_DO
theta_L2_E3,dimensionless,0.0,TO_DO
E_L2_E4,J_per_m3,181652.12541447987,TO_DO
l_L2_E4,metre,5.4477e-06,TO_DO
r_0_L2_E4,metre,1.973e-06,TO_DO
u_0_L2_E4,J_per_m3,4.367569793462583e-08,TO_DO
u_ext_L2_E4,J_per_m3,0.0,TO_DO
theta_L2_E4,dimensionless,0.0,TO_DO
E_L2_E5,J_per_m3,198831.27427073303,TO_DO
l_L2_E5,metre,8.066599999999998e-06,TO_DO
r_0_L2_E5,metre,1.4761e-06,TO_DO
u_0_L2_E5,J_per_m3,1.1071463738854259e-08,TO_DO
u_ext_L2_E5,J_per_m3,0.0,TO_DO
theta_L2_E5,dimensionless,0.0,TO_DO
E_L2_E6,J_per_m3,159287.76659072776,TO_DO
l_L2_E6,metre,5.4995e-06,TO_DO
r_0_L2_E6,metre,1.7974e-06,TO_DO
u_0_L2_E6,J_per_m3,4.952156018589449e-07,TO_DO
u_ext_L2_E6,J_per_m3,0.0,TO_DO
theta_L2_E6,dimensionless,0.0,TO_DO
E_L2_E7,J_per_m3,126905.1498798032,TO_DO
l_L2_E7,metre,2.182e-06,TO_DO
r_0_L2_E7,metre,3.6398e-06,TO_DO
u_0_L2_E7,J_per_m3,2.0579498993811285e-08,TO_DO
u_ext_L2_E7,J_per_m3,0.0,TO_DO
theta_L2_E7,dimensionless,0.0,TO_DO
E_L2_E8,J_per_m3,108671.50084308271,TO_DO
l_L2_E8,metre,2.0977999999999996e-06,TO_DO
r_0_L2_E8,metre,3.6398e-06,TO_DO
u_0_L2_E8,J_per_m3,5.027089855502709e-12,TO_DO
u_ext_L2_E8,J_per_m3,0.0,TO_DO
theta_L2_E8,dimensionless,0.0,TO_DO
E_L2_E9,J_per_m3,94853.28552830071,TO_DO
l_L2_E9,metre,3.5365e-06,TO_DO
r_0_L2_E9,metre,8.8138e-06,TO_DO
u_0_L2_E9,J_per_m3,97.65024199458983,TO_DO
u_ext_L2_E9,J_per_m3,0.0,TO_DO
theta_L2_E9,dimensionless,0.0,TO_DO
E_L2_E10,J_per_m3,176766.0999021258,TO_DO
l_L2_E10,metre,4.3762e-06,TO_DO
r_0_L2_E10,metre,7.8418e-06,TO_DO
u_0_L2_E10,J_per_m3,10.008100276736224,TO_DO
u_ext_L2_E10,J_per_m3,0.0,TO_DO
theta_L2_E10,dimensionless,0.0,TO_DO
u_ext_L2_E11,J_per_m3,0.0,TO_DO
u_0_L2_E11,J_per_m3,0.006822082944406782,TO_DO
theta_L2_E11,dimensionless,0.0,TO_DO
E_L2_E11,J_per_m3,117763.94342497666,TO_DO
l_L2_E11,metre,5.1768999999999995e-06,TO_DO
r_0_L2_E11,metre,1.11957e-05,TO_DO
E_L2_E12,J_per_m3,144020.12223157764,TO_DO
l_L2_E12,metre,6.949999999999999e-07,TO_DO
r_0_L2_E12,metre,1.09064e-05,TO_DO
u_0_L2_E12,J_per_m3,6.652226244100612,TO_DO
u_ext_L2_E12,J_per_m3,0.0,TO_DO
theta_L2_E12,dimensionless,0.0,TO_DO
E_L2_E13,J_per_m3,138056.9683803144,TO_DO
l_L2_E13,metre,3.683e-07,TO_DO
r_0_L2_E13,metre,3.5889999999999996e-07,TO_DO
u_0_L2_E13,J_per_m3,0.0035064412993506267,TO_DO
u_ext_L2_E13,J_per_m3,0.0,TO_DO
theta_L2_E13,dimensionless,0.0,TO_DO
u_ext_L2_E14,J_per_m3,0.0,TO_DO
u_0_L2_E14,J_per_m3,8.824428294918306,TO_DO
theta_L2_E14,dimensionless,0.0,TO_DO
E_L2_E14,J_per_m3,138938.24212093896,TO_DO
l_L2_E14,metre,2.6956e-06,TO_DO
r_0_L2_E14,metre,1.28443e-05,TO_DO
E_L2_E15,J_per_m3,215458.42029938017,TO_DO
l_L2_E15,metre,2.7313e-06,TO_DO
r_0_L2_E15,metre,7.8501e-06,TO_DO
u_0_L2_E15,J_per_m3,1.7173327905888414,TO_DO
u_ext_L2_E15,J_per_m3,0.0,TO_DO
theta_L2_E15,dimensionless,0.0,TO_DO
E_L2_E16,J_per_m3,166826.02472763287,TO_DO
l_L2_E16,metre,2.1908e-06,TO_DO
r_0_L2_E16,metre,7.6926e-06,TO_DO
u_0_L2_E16,J_per_m3,88.76665773346362,TO_DO
u_ext_L2_E16,J_per_m3,0.0,TO_DO
theta_L2_E16,dimensionless,0.0,TO_DO
E_L2_E17,J_per_m3,117383.07626858386,TO_DO
l_L2_E17,metre,4.359600000000001e-06,TO_DO
r_0_L2_E17,metre,9.351100000000001e-06,TO_DO
u_0_L2_E17,J_per_m3,0.0424610851913485,TO_DO
u_ext_L2_E17,J_per_m3,0.0,TO_DO
theta_L2_E17,dimensionless,0.0,TO_DO
E_L2_E18,J_per_m3,133915.30196938684,TO_DO
l_L2_E18,metre,5.725299999999999e-06,TO_DO
r_0_L2_E18,metre,1.04593e-05,TO_DO
u_0_L2_E18,J_per_m3,2.170141883144325,TO_DO
u_ext_L2_E18,J_per_m3,0.0,TO_DO
theta_L2_E18,dimensionless,0.0,TO_DO
E_L2_E19,J_per_m3,155247.7140776121,TO_DO
l_L2_E19,metre,1.3041e-06,TO_DO
r_0_L2_E19,metre,7.5609e-06,TO_DO
u_0_L2_E19,J_per_m3,0.23535613417777768,TO_DO
theta_L2_E19,dimensionless,0.0,TO_DO
u_ext_L2_E19,J_per_m3,0.0,TO_DO
E_L2_E20,J_per_m3,163445.44885521877,TO_DO
l_L2_E20,metre,5.57e-07,TO_DO
r_0_L2_E20,metre,1.54474e-05,TO_DO
u_0_L2_E20,J_per_m3,552.4470020938865,TO_DO
u_ext_L2_E20,J_per_m3,0.0,TO_DO
theta_L2_E20,dimensionless,0.0,TO_DO
E_L2_E21,J_per_m3,125287.18425295711,TO_DO
l_L2_E21,metre,6.524999999999999e-07,TO_DO
r_0_L2_E21,metre,7.4963e-06,TO_DO
u_0_L2_E21,J_per_m3,0.06605121192892227,TO_DO
u_ext_L2_E21,J_per_m3,0.0,TO_DO
theta_L2_E21,dimensionless,0.0,TO_DO
E_L2_E22,J_per_m3,244377.56453289665,TO_DO
l_L2_E22,metre,3.3665e-06,TO_DO
r_0_L2_E22,metre,6.6032e-06,TO_DO
u_0_L2_E22,J_per_m3,0.005618985330517745,TO_DO
u_ext_L2_E22,J_per_m3,0.0,TO_DO
theta_L2_E22,dimensionless,0.0,TO_DO
E_L2_E23,J_per_m3,136289.51672211266,TO_DO
l_L2_E23,metre,3.5863e-06,TO_DO
r_0_L2_E23,metre,1.7169899999999996e-05,TO_DO
u_0_L2_E23,J_per_m3,81.15073648998391,TO_DO
u_ext_L2_E23,J_per_m3,0.0,TO_DO
theta_L2_E23,dimensionless,0.0,TO_DO
E_L2_E24,J_per_m3,126695.44288346832,TO_DO
l_L2_E24,metre,2.8405999999999995e-06,TO_DO
r_0_L2_E24,metre,1.7297999999999996e-05,TO_DO
u_0_L2_E24,J_per_m3,30.926392409520986,TO_DO
u_ext_L2_E24,J_per_m3,0.0,TO_DO
theta_L2_E24,dimensionless,0.0,TO_DO
E_L2_E25,J_per_m3,124244.75616516356,TO_DO
l_L2_E25,metre,1.2675e-06,TO_DO
r_0_L2_E25,metre,4.9291e-06,TO_DO
u_0_L2_E25,J_per_m3,1.9938715964118447e-05,TO_DO
u_ext_L2_E25,J_per_m3,0.0,TO_DO
theta_L2_E25,dimensionless,0.0,TO_DO
E_L2_E26,J_per_m3,171177.3359162358,TO_DO
l_L2_E26,metre,6.286e-07,TO_DO
r_0_L2_E26,metre,4.9291e-06,TO_DO
u_0_L2_E26,J_per_m3,2.7170102672502416e-05,TO_DO
u_ext_L2_E26,J_per_m3,0.0,TO_DO
theta_L2_E26,dimensionless,0.0,TO_DO
E_L2_E27,J_per_m3,227758.57979520183,TO_DO
l_L2_E27,metre,1.9112e-06,TO_DO
r_0_L2_E27,metre,1.4794399999999998e-05,TO_DO
u_0_L2_E27,J_per_m3,384.8621307572446,TO_DO
u_ext_L2_E27,J_per_m3,0.0,TO_DO
theta_L2_E27,dimensionless,0.0,TO_DO
u_ext_L2_E28,J_per_m3,0.0,TO_DO
u_0_L2_E28,J_per_m3,0.01874829475653428,TO_DO
theta_L2_E28,dimensionless,0.0,TO_DO
E_L2_E28,J_per_m3,120115.90417569342,TO_DO
l_L2_E28,metre,5.4614e-06,TO_DO
r_0_L2_E28,metre,7.7575e-06,TO_DO
E_L2_E29,J_per_m3,124957.2576118419,TO_DO
l_L2_E29,metre,6.7270999999999995e-06,TO_DO
r_0_L2_E29,metre,6.5134999999999996e-06,TO_DO
u_0_L2_E29,J_per_m3,9.046087257047475e-08,TO_DO
u_ext_L2_E29,J_per_m3,0.0,TO_DO
theta_L2_E29,dimensionless,0.0,TO_DO
E_L2_E30,J_per_m3,130786.48808235755,TO_DO
l_L2_E30,metre,4.4894e-06,TO_DO
r_0_L2_E30,metre,6.3723e-06,TO_DO
u_0_L2_E30,J_per_m3,0.00013108065414257908,TO_DO
u_ext_L2_E30,J_per_m3,0.0,TO_DO
theta_L2_E30,dimensionless,0.0,TO_DO
E_L2_E31,J_per_m3,158511.61111500883,TO_DO
l_L2_E31,metre,4.597699999999999e-06,TO_DO
r_0_L2_E31,metre,1.5422599999999997e-05,TO_DO
u_0_L2_E31,J_per_m3,183.92661830592021,TO_DO
theta_L2_E31,dimensionless,0.0,TO_DO
u_ext_L2_E31,J_per_m3,0.0,TO_DO
E_L2_E32,J_per_m3,83224.95388217257,TO_DO
l_L2_E32,metre,2.5615e-06,TO_DO
r_0_L2_E32,metre,4.8034e-06,TO_DO
u_0_L2_E32,J_per_m3,3.69911076347762e-06,TO_DO
theta_L2_E32,dimensionless,0.0,TO_DO
u_ext_L2_E32,J_per_m3,0.0,TO_DO
E_L2_E33,J_per_m3,187772.8629481747,TO_DO
l_L2_E33,metre,2.0506e-06,TO_DO
r_0_L2_E33,metre,6.8989999999999995e-06,TO_DO
u_0_L2_E33,J_per_m3,2.849720264387493e-05,TO_DO
u_ext_L2_E33,J_per_m3,0.0,TO_DO
theta_L2_E33,dimensionless,0.0,TO_DO
E_L2_E34,J_per_m3,183168.76731345337,TO_DO
l_L2_E34,metre,5.7819e-06,TO_DO
r_0_L2_E34,metre,6.132799999999999e-06,TO_DO
u_0_L2_E34,J_per_m3,1.3726015587851794e-07,TO_DO
u_ext_L2_E34,J_per_m3,0.0,TO_DO
theta_L2_E34,dimensionless,0.0,TO_DO
E_L2_E35,J_per_m3,194901.52192779034,TO_DO
l_L2_E35,metre,1.4516e-06,TO_DO
r_0_L2_E35,metre,9.549899999999998e-06,TO_DO
u_0_L2_E35,J_per_m3,0.00030018609336934787,TO_DO
u_ext_L2_E35,J_per_m3,0.0,TO_DO
theta_L2_E35,dimensionless,0.0,TO_DO
E_L2_E36,J_per_m3,126902.23714810297,TO_DO
l_L2_E36,metre,7.726899999999999e-06,TO_DO
r_0_L2_E36,metre,3.6197e-06,TO_DO
u_0_L2_E36,J_per_m3,4.851488326293789e-05,TO_DO
u_ext_L2_E36,J_per_m3,0.0,TO_DO
theta_L2_E36,dimensionless,0.0,TO_DO
u_ext_L2_E37,J_per_m3,0.0,TO_DO
u_0_L2_E37,J_per_m3,769.0520370232543,TO_DO
theta_L2_E37,dimensionless,0.0,TO_DO
E_L2_E37,J_per_m3,146557.1173638545,TO_DO
l_L2_E37,metre,3.0485e-06,TO_DO
r_0_L2_E37,metre,8.6773e-06,TO_DO
u_ext_L2_E38,J_per_m3,0.0,TO_DO
